,reporter_id,designation,new_designation,found_in
0,240414,"Editor, Publisher","Editor, Publisher",
1,212961,Editor,Editor,
2,765444,"Writer, Analyst","Writer, Analyst",
3,1070265,Founder,Founder,
4,216722,"Mangaka, Business Consulting, Mangaka, , Academic Writer, Academic and Freelance Journalist, Business Consulting, Mangaka",", Writer, Freelance Journalist, Manga Author","redundant, remove, replace"
5,1049119,"Editor, Academics Reporter, LMAO DEAD, Academic Writer","Editor, Reporter, LMAO DEAD, Writer",replace
6,667251,"Editor, Business Consulting",Editor,remove
7,1280494,Academic Writer,Writer,replace
8,1331701,"Copywriter, Editor","Copywriter, Editor",
9,1287474,Managing Editor,Managing Editor,
10,1288074,Reporter,Reporter,
11,555506,Staff Writer,Staff Writer,
12,45789,Author,Author,
13,279037,Columnist,Columnist,
14,139961,Reporter,Reporter,
15,36664,"Journalist, Editor","Journalist, Editor",
16,511889,Freelance Writer And Editor,Freelance Writer And Editor,
17,255193,News Director,News Director,
18,639685,Writer,Writer,
19,44425,Staff Writer,Staff Writer,
20,633885,"Academic Writer, Academic and Freelance Journalist","Writer, Freelance Journalist",replace
21,204297,News Editor,News Editor,
22,321740,Editor,Editor,
23,671638,Author,Author,
24,177858,Senior Editor,Senior Editor,
25,515653,Producer,Producer,
26,88977,Staff Writer,Staff Writer,
27,41214,Columnist,Columnist,
28,1306061,Writer,Writer,
29,332792,Editor,Editor,
30,1276798,"Editor-In-Chief, Publisher","Editor-In-Chief, Publisher",
31,134980,Editor-In-Chief,Editor-In-Chief,
32,143548,Staff Editor,Staff Editor,
