reporter_id,designation,new_designation
240414,"Editor, Publisher","Editor, Publisher"
212961,Editor,Editor
765444,"Writer, Analyst","Writer, Analyst"
1070265,Founder,Founder
216722,"Mangaka, Business Consulting,Mangaka, , Academic Writer, Academic and Freelance Journalist, Business Consulting, Mangaka","Manga Author, Manga Author, Writer, Freelance Journalist, Manga Author"
1049119,"Editor, Academics Reporter, LMAO DEAD, Academic Writer","Editor, Reporter, LMAO DEAD, Writer"
667251,"Editor, Business Consulting",Editor
1280494,"Academic Writer, Med Radio Moroccan",Writer
1331701,"Copywriter, Editor","Copywriter, Editor"
1287474,Managing Editor,Managing Editor
1288074,Reporter,Reporter
555506,Staff Writer,Staff Writer
45789,Author,Author
279037,Columnist,Columnist
139961,Reporter,Reporter
36664,"Journalist, Editor","Journalist, Editor"
511889,Freelance Writer And Editor,Freelance Writer And Editor
255193,News Director,News Director
639685,Writer,Writer
44425,Staff Writer,Staff Writer
633885,"Academic Writer, Academic and Freelance Journalist","Writer, Freelance Journalist"
204297,News Editor,News Editor
321740,Editor,Editor
671638,Author,Author
177858,Senior Editor,Senior Editor
515653,Producer,Producer
88977,Staff Writer,Staff Writer
41214,Columnist,Columnist
1306061,Writer,Writer
332792,Editor,Editor
1276798,"Editor-In-Chief, Publisher","Editor-In-Chief, Publisher"
134980,Editor-In-Chief,Editor-In-Chief
143548,Staff Editor,Staff Editor
